,epidemic_id,date_range,pathogen,locations,country,hosts,source_reports
0,flu_00001,2011-12-06 to 2012-03-21,H5N1 subtype,"Visakhapatnam district (admin level 2), Andhra Pradesh (admin level 1); Khordha district (admin level 2), Odisha (admin level 1); Bhopal district (admin level 2), Madhya Pradesh (admin level 1); Lalitpur district (admin level 2), Uttar Pradesh (admin level 1); Punjab (admin level 1); Kolkata destrict (admin level 2), West Bengal (admin level 1); Orissa (admin level 1); Jharkhand (admin level 1); Khurdan piirikunta (admin level 2), Odisha (admin level 1); distretto di Siwan (admin level 2), Bihar (admin level 1); Mayurbhanj district (admin level 2), Odisha (admin level 1)",India,Galliformes; Aves; Corvus macrorhynchos; Gallus gallus; Anas; Corvus,2012_02_02_1; 2012_02_02_3; 2012_02_22_1; 2011_12_06_1; 2012_04_09_2; 2012_03_23_2; 2012_02_02_10; 2012_02_22_3; 2012_02_02_13; 2012_02_02_4
1,flu_00002,2008-08-01 to 2008-08-15,H5N1 subtype,"Kano State (admin level 1); Gombe State (admin level 1); Mayo-Kebbi Ouest Region (admin level 1); Kebbi State (admin level 1); Katsina State (admin level 1); Juneau, Alaska (admin level 2), Alaska (admin level 1)",Nigeria,Galliformes; Anas platyrhynchos; Gallus gallus; Aves,2008_08_01_4; 2008_08_15_2
2,flu_00003,2014-11-18 to 2014-12-19,H5N8 subtype,Kumamoto Prefecture (admin level 1); Miyazaki Prefecture (admin level 1),Japan,Galliformes; Gallus gallus; Aves,2014_12_19_4; 2014_11_18_1; 2014_12_09_1
3,flu_00004,2016-11-18 to 2017-02-20,H7N9 subtype,"Anhui (admin level 1); Fujian (admin level 1); Wuhan (admin level 2), Hubei (admin level 1); Suzhou (admin level 2), Jiangsu (admin level 1); Meizhou (kapital sa prepektura sa Republikang Popular sa Tsina) (admin level 2), Guangdong (admin level 1); Nanchang (admin level 2), Jiangxi (admin level 1); Huzhou (admin level 2), Zhejiang (admin level 1); Suzhou (admin level 2), Anhui (admin level 1); Rizhao (admin level 2), Shandong (admin level 1); Sichuan (admin level 1); Fuzhou (admin level 2), Fujian (admin level 1); Guangdong (admin level 1); Zhejiang (admin level 1); Hong Kong (admin level 1); Nantong (admin level 2), Jiangsu (admin level 1); Jiangsu (admin level 1); Hengyang (admin level 2), Hunan (admin level 1)",People's Republic of China,Galliformes; Homo sapiens; Aves; Gallus gallus,2017_01_13_8; 2017_03_03_2; 2017_01_10_22; 2017_01_23_9; 2016_12_20_17; 2017_01_23_10; 2016_12_29_13; 2017_01_10_21; 2016_11_18_9; 2017_03_03_10; 2016_12_29_14; 2017_02_07_17; 2017_01_13_7
4,flu_00005,2013-07-05 to 2013-07-05,H7N9 subtype,"Sechelt Indian Government District (admin level 2), Sunshine Coast Regional District (admin level 1)",Canada,Homo sapiens,2013_07_05_4
5,flu_00006,2007-03-20 to 2007-03-23,H5N1 subtype,Nangarhar (admin level 1); Kunar (admin level 1); Kabul Province (admin level 1),Afghanistan,Galliformes; Aves,2007_03_20_3; 2007_04_02_2
6,flu_00007,2016-08-19 to 2016-08-25,H9N2 subtype,Yunnan (admin level 1),People's Republic of China,Homo sapiens,2016_09_09_5
7,flu_00008,2008-12-25 to 2009-05-10,H5N1 subtype,"Dong Thap Province (admin level 1); Ca Mau (admin level 1); Thanh Hoa (admin level 2), Thanh Hóa (admin level 1); Soc Trang (admin level 2), Sóc Trăng (admin level 1); Bac Ninh (admin level 1)",Vietnam,Galliformes; Anas; Homo sapiens; Aves; Gallus gallus,2009_01_14_10; 2009_02_13_6; 2009_02_06_5; 2009_05_15_2; 2009_05_01_5; 2009_02_06_10; 2009_03_30_6
8,flu_00009,2008-12-12 to 2009-03-10,H5N1 subtype,"Guizhou (admin level 1); Saint Thomas Lowland Parish (admin level 1); Beijing (admin level 1); Huaihua (admin level 2), Hunan (admin level 1); Hong Kong (admin level 1); Xinjiang (admin level 1); Yulin (admin level 2), Shaanxi (admin level 1); Hunan (admin level 1); Shenzhen (admin level 2), Guangdong (admin level 1)",People's Republic of China,Galliformes; Aves; Gallus gallus; Passeridae; Anas; Anser; Homo sapiens,2009_03_02_1; 2009_01_30_5; 2008_12_12_2; 2009_01_14_9; 2009_02_06_8; 2009_02_06_3; 2009_03_17_4; 2009_01_14_8; 2009_01_21_4; 2009_03_10_1; 2009_01_14_1; 2009_02_13_3
9,flu_00010,2008-10-09 to 2008-10-09,H5N1 subtype,"Yesan (admin level 2), South Chungcheong Province (admin level 1); Seoul (admin level 1)",South Korea,Galliformes; Anas; Aves,2008_10_09_2
