index,epidemic_id,date_range,pathogen,locations,country,hosts,source_reports,true_positive,missing_reports
113,flu_00114,2006-12-26 to 2007-04-06,H5N1 subtype,"Mueang Suphan Buri (admin level 2), Suphanburi (admin level 1); Phitsanulok (admin level 1); Districtul Kuchinarai (admin level 2), Kalasin (admin level 1)",Thailand,Merops philippinus; Galliformes; Aves; Anas; Columbidae; Gallus gallus; Aegypius monachus,2007_02_07_4; 2007_04_06_2; 2007_01_22_2; 2010_11_05_1,1,
124,flu_00125,2013-05-30 to 2013-05-30,H7N9 subtype,Beijing (admin level 1); Bar Municipality (admin level 1),Montenegro,Homo sapiens,2013_05_30_4,1,
237,flu_00238,2009-10-07 to 2009-11-16,H5N1 subtype,"Mueang Suphan Buri (admin level 2), Suphanburi (admin level 1); Nan (admin level 1)",Thailand,Aves; Anas; Galliformes,2009_11_20_6,1,
197,flu_00198,2014-12-20 to 2015-2-2,H5N8 subtype,"Grays Harbor County (admin level 2), Washington (admin level 1); Nevada (admin level 1); Clark County (admin level 2), Kansas (admin level 1); California (admin level 1); Oregon (admin level 1); Deschutes County (admin level 2), Oregon (admin level 1); Kings County (admin level 2), New York (admin level 1); Washington (admin level 1); Baja California Sur (admin level 1); Winston County (admin level 2), Mississippi (admin level 1); Canyon County (admin level 2), Idaho (admin level 1)",United States of America,Aves; Mareca americana; Gallus gallus; Anas; Galliformes,2014_12_29_4; 2015_02_23_6; 2015_03_02_3; 2015_03_06_1; 2015_01_16_1; 2015_02_23_7; 2015_02_06_9; 2014_12_23_3,1,
71,flu_00072,2015-03-02 to 2015-05-22,H5N1 subtype,"Vinh Long (cidade) (admin level 2), Vĩnh Long (admin level 1)",Vietnam,Aves; Gallus gallus; Anas; Homo sapiens; Galliformes,2015_05_22_6; 2015_03_20_7; 2015_03_02_9; 2015_04_17_6,1,
285,flu_00286,2011-03-16 to 2011-03-29,H5N1 subtype,Sagaing Region (admin level 1),Myanmar,Gallus gallus; Galliformes,2011_03_29_6,1,
144,flu_00145,2011-04-05 to 2011-04-05,H7N3 subtype,"Missouri (admin level 1); Polk County (admin level 2), Iowa (admin level 1)",United States of America,Phasianidae; Aves; Galliformes,2011_04_05_5,1,
161,flu_00162,2005-12-26 to 2005-12-26,H5N1 subtype,Hunan (admin level 1),People's Republic of China,Gallus gallus; Anas,2008_06_06_1,1,
12,flu_00013,2008-12-12 to 2009-05-05,H5N1 subtype,"Qinghai (admin level 1); Hunan (admin level 1); Yulin (admin level 2), Shaanxi (admin level 1); Beijing (admin level 1); Huaihua (admin level 2), Hunan (admin level 1); Guizhou (admin level 1); Shenzhen (admin level 2), Guangdong (admin level 1); Hong Kong (admin level 1); Lhasa (admin level 2), Tibet (admin level 1); Saint Thomas Lowland Parish (admin level 1); Xinjiang (admin level 1)",People's Republic of China,Anser; Homo sapiens; Galliformes; Passeridae; Aves; Anas; Gallus gallus,2009_02_13_3; 2008_12_12_2; 2009_03_10_1; 2009_01_30_5; 2009_01_14_9; 2009_01_14_8; 2009_02_06_3; 2009_03_17_4; 2009_05_11_2; 2009_03_02_1; 2009_01_14_1; 2009_02_23_2; 2009_05_22_1; 2009_01_21_4; 2009_02_06_8; 2009_04_28_2,0,2008_10_24_1
7,flu_00008,2007-03-20 to 2007-03-23,H5N1 subtype,Kunar (admin level 1); Nangarhar (admin level 1); Kabul Province (admin level 1),Afghanistan,Aves; Galliformes,2007_04_02_2; 2007_03_20_3,1,
125,flu_00126,2017-07-05 to 2017-07-06,H3N8 subtype,United States of America (country),United States of America,Aves; Homo sapiens,2017_07_14_1; 2017_07_05_1,1,
114,flu_00115,2011-09-15 to 2011-09-15,H5N1 subtype,"Quang Ngai (admin level 2), Quảng Ngãi (admin level 1)",Vietnam,Aves; Gallus gallus; Anas; Galliformes,2011_09_15_8,0,2011_02_28_4; 2011_04_05_3; 2011_04_28_5; 2011_05_25_2; 2011_06_10_1; 2011_08_02_2; 2011_09_15_3
156,flu_00157,2006-12-01 to 2006-12-01,H5N1 subtype,"Essex County (admin level 2), Massachusetts (admin level 1)",United States of America,Aves; Sus scrofa,2006_12_01_1,1,
8,flu_00009,2016-08-19 to 2016-08-25,H9N2 subtype,Yunnan (admin level 1); Jiangxi (admin level 1),People's Republic of China,Homo sapiens,2016_09_09_5,1,
24,flu_00025,2016-11-28 to 2017-1-24,H5N8 subtype,Aomori Prefecture (admin level 1); Niigata Prefecture (admin level 1),Japan,Aves; Gallus gallus; Anas; Homo sapiens,2016_12_06_13; 2017_02_01_10; 2016_12_13_16,1,
80,flu_00081,2009-10-26 to 2009-10-26,H5N1 subtype,Tuva Republic (admin level 1); Moscow (admin level 1),Russia,Aves; Podicipedidae; Galliformes,2009_11_06_1,1,
