index,report_id,epidemic_date,flu_pathogen,location,country,host,false negative,
1650,2017_02_07_7,2017-01-31,H5N1 subtype,Cambodia (country),Cambodia,Gallus gallus,0,
1827,2014_12_09_2,2014-12-09,H5N8 subtype,Netherlands (country),Netherlands,Galliformes; Anas; Aves,0,
2507,2016_07_12_2,2016-07-04,H5N2 subtype,Canada (country),Canada,Aves,0,
896,2007_09_14_1,2007-09-09,H5N1 subtype,North Dakota (admin level 1),United States of America,Anas,0,
1690,2011_07_11_1,2011-06-22,H5N1 subtype,Bangladesh (country),Bangladesh,Galliformes; Aves,0,
449,2011_11_17_7,2011-11-17,H5N2 subtype,Western Cape (admin level 1),South Africa,Galliformes; Aves,0,
625,2007_07_05_2,2007-07-05,H5N1 subtype,Thuringia (admin level 1),Germany,Aves,0,
2393,2015_08_24_6,2015-08-24,H5N1 subtype,State of Palestine (country),State of Palestine,Aves,0,
1009,2017_06_27_5,2017-06-23,H5N2 subtype,Taiwan (country),Taiwan,Aves,0,
1186,2011_09_23_1,2011-09-23,H5N1 subtype,Hong Kong (admin level 1),People's Republic of China,Aves; Galliformes,0,
1248,2017_03_22_1,2017-03-06,H5N8 subtype,Austria (country),Austria,Pelecanidae; Aves,0,
1476,2014_01_09_3,2013-12-24,H7N7 subtype,South Africa (country),South Africa,Aves; Galliformes,0,
2248,2008_07_18_3,2008-07-10,H5N1 subtype,Indonesia (country),Indonesia,Galliformes; Homo sapiens,1,flu_00077
1623,2017_08_25_3,2017-08-22,H5N8 subtype,South Africa (country),South Africa,Aves; Gallus gallus,0,
1997,2016_07_29_1,2016-07-29,H5N8 subtype,United States of America (country),United States of America,Aves; Galliformes; Anas,0,
505,2017_02_01_6,2017-02-01,H5N1 subtype,Bangladesh (country),Bangladesh,Aves,0,
1981,2016_12_06_2,2016-11-12,H5N8 subtype,Finland (country),Finland,Aves; Galliformes,0,
1611,2016_02_08_4,2016-02-08,H7N3 subtype,South Africa (country),South Africa,Aves; Anas,0,
987,2009_02_23_2,2009-02-23,H5N1 subtype,Hong Kong (admin level 1),People's Republic of China,Aves,1,"flu_00009, flu_00101"
2523,2015_08_24_7,2015-08-24,H5N1 subtype,Vietnam (country),Vietnam,Aves,0,
