index,epidemic_id,date_range,pathogen,locations,country,hosts,source_reports,true positive,missing reports
199,flu_00200,2016-10-22 to 2016-11-4,H5N8 subtype,"Delhi (admin level 1); Alappuzha (admin level 2), Kerala (admin level 1); Punjab (admin level 1); Madhya Pradesh (admin level 1); Distrito de Bhopal (admin level 2), Madhya Pradesh (admin level 1)",India,Gallus gallus; Galliformes; Ciconiidae; Anas; Aves,2016_11_15_12; 2016_11_07_3,1,
117,flu_00118,2013-04-24 to 2013-04-24,H7N9 subtype,Taiwan (country),Taiwan,Galliformes; Homo sapiens,2013_04_30_5,1,
151,flu_00152,2016-02-01 to 2016-02-01,H5N1 subtype,Bangladesh (country),Bangladesh,Corvus,2016_02_22_1,1,
215,flu_00216,2014-01-16 to 2014-03-20,H5N8 subtype,"South Chungcheong Province (admin level 1); North Jeolla Province (admin level 1); Gyeonggi Province (admin level 1); Busan (admin level 1); Seoul (admin level 1); Gochang (admin level 2), North Jeolla Province (admin level 1); Gwacheon (admin level 2), Gyeonggi Province (admin level 1)",South Korea,Gallus gallus; Galliformes; Anser fabalis; Aves; Homo sapiens; Anas,2014_01_22_1; 2014_03_20_1; 2014_09_30_4; 2014_01_31_1; 2014_03_20_6,0,2014_02_19_6
328,flu_00329,2017-02-28 to 2017-02-28,H5N8 subtype,United States of America (country),United States of America,Phasianidae; Anas,2017_03_08_5,1,
17,flu_00018,2016-11-28 to 2017-1-24,H5N8 subtype,Niigata Prefecture (admin level 1); Aomori Prefecture (admin level 1),Japan,Homo sapiens; Gallus gallus; Anas; Aves,2017_02_01_10; 2016_12_06_13; 2016_12_13_16,1,
102,flu_00103,2014-12-13 to 2014-12-13,H5N1 subtype,"Quang Ngai (admin level 2), Quảng Ngãi (admin level 1)",Vietnam,Aves,2014_12_23_4,1,
263,flu_00264,2011-12-24 to 2011-12-24,H5N1 subtype,"distretto di Meherpur (admin level 2), Khulna Division (admin level 1)",Bangladesh,Gallus gallus; Aves,2012_01_06_3,0,2011_09_15_2; 2011_09_15_6; 2011_12_22_2; 2011_11_17_5; 2012_02_02_2; 2012_03_06_6
161,flu_00162,2011-09-15 to 2011-12-06,H5N1 subtype,"Bali (admin level 1); Bekasi Regency (admin level 2), West Java Province (admin level 1); Denpasar (admin level 2), Bali (admin level 1); Central Java Province (admin level 1); North Lombok Regency (admin level 2), West Nusa Tenggara (admin level 1); Special Region of Yogyakarta (admin level 1); Mataram (admin level 2), West Nusa Tenggara (admin level 1); Kabupatèn Lombok Wétan (admin level 2), West Nusa Tenggara (admin level 1); South Sulawesi (admin level 1)",Indonesia,Gallus gallus; Galliformes; Homo sapiens; Aves,2011_10_24_2; 2011_09_15_4; 2011_11_17_9; 2011_10_31_1; 2011_10_07_1; 2011_10_24_1; 2011_10_18_1; 2011_10_18_3; 2011_12_06_3; 2011_09_21_4,0,2012_02_02_8; 2012_02_22_6; 2012_02_29_6; 2012_03_12_5; 2012_04_09_4; 2012_04_12_6; 2012_04_16_1
5,flu_00006,2007-03-20 to 2007-03-23,H5N1 subtype,Kabul Province (admin level 1); Nangarhar (admin level 1); Kunar (admin level 1),Afghanistan,Galliformes; Aves,2007_04_02_2; 2007_03_20_3,1,
