index,epidemic_id,date_range,pathogen,locations,country,hosts,source_reports,true_positive,missing_reports
96,flu_00097,2011-09-06 to 2012-02-26,H5N1 subtype,"Manikganj District (admin level 2), Dhaka Division (admin level 1); Khulna Division (admin level 1); Chuadanga District (admin level 2), Khulna Division (admin level 1); Dhaka Division (admin level 1); distretto di Meherpur (admin level 2), Khulna Division (admin level 1)",Bangladesh,Aves; Gallus gallus; Galliformes; Homo sapiens,2012_02_02_2; 2012_03_06_6; 2011_09_15_6; 2011_12_22_2; 2011_11_17_5; 2012_01_06_3; 2011_09_15_2,1,
69,flu_00070,2009-10-26 to 2009-10-26,H5N1 subtype,Tuva Republic (admin level 1); Moscow (admin level 1),Russia,Aves; Podicipedidae; Galliformes,2009_11_06_1,1,
279,flu_00280,2017-01-10 to 2017-01-10,Influenza A virus,Stara Zagora Province (admin level 1),Bulgaria,Aves,2017_01_10_8,1,
243,flu_00244,2016-11-15 to 2016-12-20,H5N6 subtype,Akita Prefecture (admin level 1),Japan,Aves; Cygnus atratus; Homo sapiens,2016_12_01_3; 2016_12_20_3,1,
50,flu_00051,2016-11-07 to 2017-02-01,H5N8 subtype,Brandenburg (admin level 1); Mecklenburg-Vorpommern (admin level 1),Germany,Aves; Galliformes; Anas platyrhynchos; Homo sapiens; Larus marinus; Anas; Gallus gallus; Laridae,2016_12_06_4; 2016_12_06_9; 2016_11_15_4; 2016_11_15_10; 2016_12_13_5; 2017_02_01_3,1,
281,flu_00282,2016-04-20 to 2016-04-20,H7N3 subtype,Puebla (admin level 1); Jalisco (admin level 1); Veracruz (admin level 1),Mexico,Gallus gallus; Pavo cristatus,2016_04_20_1,1,
275,flu_00276,2009-12-11 to 2009-12-11,H9N2 subtype,Hong Kong (admin level 1),People's Republic of China,Homo sapiens,2010_01_12_7,1,
230,flu_00231,2011-11-17 to 2011-11-17,H5N1 subtype,Battambang Province (admin level 1),Cambodia,Gallus gallus; Galliformes; Anser; Anas,2011_11_17_3,1,
68,flu_00069,2010-07-21 to 2011-05-21,H5N1 subtype,Giza Governorate (admin level 1); Qena Governorate (admin level 1); Luxor Governorate (admin level 1); Cairo Governorate (admin level 1); Alexandria Governorate (admin level 1); Aswan Governorate (admin level 1); Qalyubia Governorate (admin level 1); Dakahlia Governorate (admin level 1); Gharbia Governorate (admin level 1); Beni Suef Governorate (admin level 1),Egypt,Aves; Gallus gallus; Galliformes; Homo sapiens,2010_10_15_2; 2011_04_05_6; 2011_02_08_4; 2010_12_09_5; 2011_01_14_7; 2010_08_18_2; 2010_08_16_2; 2011_01_24_6; 2010_07_30_3; 2011_06_20_6; 2011_03_15_9; 2011_03_07_3; 2010_08_20_3; 2011_06_07_5; 2010_08_26_4; 2011_04_12_4,1,
113,flu_00114,2009-12-11 to 2010-01-20,H5N1 subtype,"Kompung Chinang (admin level 2), Kampong Chhnang Province (admin level 1); Ponhea Kraek District (admin level 2), Kampong Cham Province (admin level 1)",Cambodia,Aves; Homo sapiens,2010_01_20_1; 2009_12_22_3,1,
172,flu_00173,2013-10-28 to 2013-10-28,H7N2 subtype,New South Wales (admin level 1),Australia,Galliformes; Gallus gallus; Anas,2013_10_28_7; 2013_10_28_2,1,
6,flu_00007,2007-09-05 to 2008-03-14,H5N1 subtype,"Turpan (admin level 2), Xinjiang (admin level 1); Guangzhou (kapital sa lalawigan) (admin level 2), Guangdong (admin level 1); Guangdong (admin level 1); Hong Kong (admin level 1); Guizhou (admin level 1); Cheung Prey District (admin level 2), Kampong Cham Province (admin level 1)",People's Republic of China,Aves; Egretta garzetta; Galliformes; Homo sapiens; Gallus gallus; Anas,2008_03_07_1; 2007_11_30_1; 2008_03_14_1; 2008_02_08_1; 2008_02_20_1; 2007_12_18_1; 2008_03_03_3; 2008_01_10_4; 2008_03_27_3; 2007_09_21_2,1,
174,flu_00175,2014-08-12 to 2014-09-30,H5N6 subtype,"Quang Ngai (admin level 2), Quảng Ngãi (admin level 1); District de Thanh Xuan (admin level 2), Hanoi (admin level 1); Ha Tinh (admin level 1); Lang Son (admin level 2), Lạng Sơn (admin level 1); Lao Cai (admin level 1)",Vietnam,Aves; Galliformes; Gallus gallus; Anas; Homo sapiens,2014_09_30_3; 2014_09_10_1; 2014_08_15_1; 2014_08_29_1,1,
236,flu_00237,2016-07-19 to 2016-07-19,H5N8 subtype,Kaohsiung City (admin level 1),Taiwan,Gallus gallus; Anser,2016_07_19_4,1,
39,flu_00040,2015-11-25 to 2016-06-07,H5N6 subtype,"Guangdong (admin level 1); Hong Kong (admin level 1); Xiangxi Tujia eta Miao Prefektura autonomoa (admin level 2), Hunan (admin level 1); Huizhou (admin level 2), Guangdong (admin level 1); Zhuzhou (kapital sa prepektura sa Republikang Popular sa Tsina) (admin level 2), Hunan (admin level 1); Ganzhou (admin level 2), Jiangxi (admin level 1)",People's Republic of China,Aves; Gallus gallus; Galliformes; Anas; Homo sapiens,2016_06_07_7; 2016_01_08_1; 2016_03_21_7; 2016_01_22_1; 2016_03_21_1; 2016_06_10_5; 2015_12_18_1; 2016_03_14_1; 2016_01_15_6; 2016_02_29_2; 2016_01_08_6; 2015_11_25_1; 2016_05_03_4; 2016_06_24_2; 2016_05_06_6; 2016_01_22_9,1,
89,flu_00090,2013-02-01 to 2013-05-23,H5N1 subtype,Tibet (admin level 1); Zhejiang (admin level 1); Hong Kong (admin level 1); Shanghai (admin level 1); Tibet Autonomous Region (admin level 1); Guizhou (admin level 1),People's Republic of China,Aves; Chroicocephalus ridibundus; Anser; Galliformes; Homo sapiens; Gallus gallus,2013_05_23_4; 2013_02_01_1; 2013_02_15_3; 2013_03_01_4; 2013_04_12_3,1,
88,flu_00089,2011-01-01 to 2011-06-22,H5N1 subtype,"Kishoreganj District (admin level 2), Dhaka Division (admin level 1); Gaibandha District (admin level 2), Rangpur Division (admin level 1); Noakhali District (admin level 2), Chattogram Division (admin level 1); Kalamazoo County (admin level 2), Michigan (admin level 1); Bhola District (admin level 2), Barisal Division (admin level 1); Gazipur District (admin level 2), Dhaka Division (admin level 1); Rajshahi Division (admin level 1); Dhaka Division (admin level 1)",Bangladesh,Aves; Gallus gallus; Galliformes; Homo sapiens,2011_02_22_3; 2011_05_25_1; 2011_03_15_1; 2011_03_29_3; 2011_03_22_5; 2011_04_05_7; 2011_07_11_1; 2011_02_08_2; 2011_01_14_3,1,
241,flu_00242,2013-02-22 to 2013-02-22,H5N1 subtype,Brandenburg (admin level 1),Germany,Gallus gallus; Galliformes,2013_02_22_2,1,
67,flu_00068,2009-04-14 to 2009-05-11,H5N1 subtype,"Kentucky (admin level 1); Giles County (admin level 2), Tennessee (admin level 1); Lincoln County (admin level 2), Mississippi (admin level 1)",United States of America,Aves; Gallus gallus; Galliformes; Homo sapiens,2009_04_14_2; 2009_05_11_3,1,
4,flu_00005,2016-11-18 to 2017-05-31,H7N9 subtype,"Rizhao (admin level 2), Shandong (admin level 1); Jiangsu (admin level 1); Fujian (admin level 1); Nanchang (admin level 2), Jiangxi (admin level 1); Guangdong (admin level 1); Fuzhou (admin level 2), Fujian (admin level 1); Meizhou (kapital sa prepektura sa Republikang Popular sa Tsina) (admin level 2), Guangdong (admin level 1); Henan (admin level 1); Jiangxi (admin level 1); Anhui (admin level 1); Hong Kong (admin level 1); Hubei (admin level 1); Sichuan (admin level 1); Huzhou (admin level 2), Zhejiang (admin level 1); Zhejiang (admin level 1); Suzhou (admin level 2), Jiangsu (admin level 1); Wuhan (admin level 2), Hubei (admin level 1); Tibet (admin level 1); Suzhou (admin level 2), Anhui (admin level 1); Nantong (admin level 2), Jiangsu (admin level 1); Guizhou (admin level 1); Hengyang (admin level 2), Hunan (admin level 1)",People's Republic of China,Aves; Gallus gallus; Galliformes; Homo sapiens,2016_11_18_9; 2017_05_30_3; 2017_05_12_13; 2016_12_29_13; 2017_01_10_21; 2017_01_23_10; 2017_01_13_7; 2017_06_06_2; 2017_03_03_2; 2017_01_13_8; 2016_12_20_17; 2017_03_03_10; 2017_05_30_10; 2017_01_10_22; 2017_02_07_17; 2016_12_29_14; 2017_03_22_15; 2017_01_23_9,1,
56,flu_00057,2013-09-09 to 2013-09-09,H7N3 subtype,Jalisco (admin level 1),Mexico,Aves; Galliformes,2013_09_09_3,1,
118,flu_00119,2016-01-16 to 2016-01-19,H7N9 subtype,"Chekiang Province, Republic of China (admin level 1)",Taiwan,Galliformes; Homo sapiens,2016_01_22_11; 2016_01_22_10,1,
260,flu_00261,2010-11-16 to 2010-11-22,H5N1 subtype,"Nam Dinh (admin level 2), Nam Định (admin level 1)",Vietnam,Aves; Galliformes; Anas,2010_12_03_4,1,
157,flu_00158,2007-08-14 to 2007-11-01,H5N1 subtype,"West Jakarta (admin level 2), Jakarta (admin level 1); Jakarta (admin level 1); Tangerang Selatan (admin level 2), Banten Province (admin level 1); Bogor Regency (admin level 2), West Java Province (admin level 1); Bekasi Regency (admin level 2), West Java Province (admin level 1)",Indonesia,Galliformes; Gallus gallus; Anas; Homo sapiens,2007_10_05_3; 2007_08_14_2; 2007_11_01_4; 2012_02_02_8,1,
239,flu_00240,2016-04-20 to 2016-06-20,H5N2 subtype,Taipei (admin level 1); Taichung (admin level 1),Taiwan,Gallus gallus; Galliformes,2016_06_24_5; 2016_04_20_3; 2016_05_20_6,1,
224,flu_00225,2014-12-06 to 2014-12-06,Influenza A virus,"Nanchang (admin level 2), Jiangxi (admin level 1)",People's Republic of China,Galliformes; Homo sapiens,2014_02_07_4,1,
192,flu_00193,2011-09-14 to 2011-09-26,H5N1 subtype,Jharkhand (admin level 1); West Bengal (admin level 1),India,Aves; Galliformes; Anas,2011_12_16_1; 2011_09_23_3,1,
272,flu_00273,2015-04-01 to 2015-04-01,H5N1 subtype,"Kadiogo (admin level 2), Centre Region, Burkina Faso (admin level 1); Sanguié (admin level 2), Centre-Ouest Region (admin level 1)",Burkina Faso,Galliformes,2015_04_03_4,1,
255,flu_00256,2017-03-22 to 2017-03-22,H5N1 subtype,"Tây Ninh (admin level 2), Tay Ninh Province (admin level 1)",Vietnam,Aves; Galliformes,2017_03_22_13,1,
65,flu_00066,2016-01-16 to 2016-03-04,H5N1 subtype,Giza Governorate (admin level 1); Cairo Governorate (admin level 1),Egypt,Aves; Homo sapiens,2016_01_29_5; 2016_01_22_2; 2016_03_21_9,1,
185,flu_00186,2017-05-05 to 2017-05-05,H5N8 subtype,England (admin level 1),United Kingdom,Aves; Gallus gallus,2017_05_12_11,1,
117,flu_00118,2011-11-17 to 2011-11-17,H5N2 subtype,Western Cape (admin level 1),South Africa,Aves; Galliformes,2011_11_17_7,1,
231,flu_00232,2010-05-17 to 2010-05-28,H5N1 subtype,"West Bank (admin level 1); Tulkarm Governorate (admin level 2), West Bank (admin level 1)",Israel,Aves; Gallus gallus; Galliformes,2010_05_17_4; 2010_05_28_6,1,
256,flu_00257,2016-11-12 to 2016-11-12,H5N8 subtype,Åland Islands (admin level 1),Finland,Aves; Galliformes; Anas,2016_12_06_2,1,
30,flu_00031,2013-10-28 to 2015-06-12,H7N9 subtype,"Jiangsu (admin level 1); Anhui Province (admin level 1); Fujian (admin level 1); Guangdong (admin level 1); Jiangmen (admin level 2), Guangdong (admin level 1); Meizhou (kapital sa prepektura sa Republikang Popular sa Tsina) (admin level 2), Guangdong (admin level 1); Dongguan (admin level 2), Guangdong (admin level 1); Heyuan (admin level 2), Guangdong (admin level 1); Zhuhai (admin level 2), Guangdong (admin level 1); Shandong (admin level 1); Jiangxi (admin level 1); Anhui (admin level 1); Guangzhou (kapital sa lalawigan) (admin level 2), Guangdong (admin level 1); Hong Kong (admin level 1); Jiangsu Province (Republic of China) (admin level 1); Beijing (admin level 1); Hubei (admin level 1); Zhongshan (admin level 2), Guangdong (admin level 1); Shenzhen (admin level 2), Guangdong (admin level 1); Zhejiang (admin level 1); Shanghai (admin level 1); Guangxi Zhuang Autonomous Region (admin level 1); Urumqi (admin level 2), Xinjiang (admin level 1); Yangjiang (admin level 2), Guangdong (admin level 1); Hebei (admin level 1); Chaoyang (admin level 2), Liaoning (admin level 1); Hunan (admin level 1); Guizhou (admin level 1)",People's Republic of China,Aves; Gallus gallus; Galliformes; Anas; Homo sapiens,2015_03_06_6; 2014_12_29_9; 2013_11_08_4; 2014_01_31_3; 2016_10_03_6; 2013_12_13_2; 2014_03_07_2; 2014_02_19_1; 2014_02_07_3; 2014_11_12_2; 2014_05_16_2; 2014_05_23_1; 2014_06_17_2; 2014_01_31_2; 2014_12_16_3; 2015_02_13_5; 2014_01_09_7; 2014_03_07_6; 2014_12_23_5; 2014_04_10_9; 2014_06_06_1; 2015_01_08_11; 2014_05_30_1; 2015_01_30_6; 2014_03_07_7; 2014_01_22_6; 2015_05_01_8; 2014_06_23_3; 2014_07_21_1; 2014_02_19_12; 2013_12_06_3; 2013_10_28_4; 2014_11_03_10; 2014_10_24_5; 2014_03_07_13; 2015_03_02_11; 2015_05_29_7; 2015_06_12_5; 2014_05_16_1; 2015_01_08_6; 2014_01_09_10; 2014_01_31_6; 2014_12_09_5; 2014_04_10_4,1,
160,flu_00161,2008-07-25 to 2008-09-08,H5N1 subtype,"New London County, Connecticut (admin level 2), Connecticut (admin level 1); California (admin level 1); La Crosse County (admin level 2), Wisconsin (admin level 1); Idaho (admin level 1)",United States of America,Galliformes; Gallus gallus; Aves; Homo sapiens,2008_09_08_2; 2008_09_08_4; 2008_07_25_5,1,
76,flu_00077,2009-08-05 to 2009-09-08,H5N1 subtype,"Meeker County (admin level 2), Minnesota (admin level 1)",United States of America,Aves; Galliformes; Anas; Homo sapiens,2009_09_08_1; 2009_09_01_1; 2009_08_07_2,1,
262,flu_00263,2016-01-11 to 2016-01-11,H5N1 subtype,Scotland (admin level 1),United Kingdom,Aves; Gallus gallus; Galliformes,2016_01_15_4,1,
22,flu_00023,2016-11-28 to 2017-1-24,H5N8 subtype,Aomori Prefecture (admin level 1); Niigata Prefecture (admin level 1),Japan,Aves; Gallus gallus; Anas; Homo sapiens,2016_12_06_13; 2017_02_01_10; 2016_12_13_16,1,
34,flu_00035,2012-02-24 to 2012-02-24,H5N1 subtype,Yangon Region (admin level 1); Sagaing Region (admin level 1); Mandalay Region (admin level 1),Myanmar,Aves; Gallus gallus; Galliformes,2012_03_06_3,1,
240,flu_00241,2008-04-08 to 2008-07-25,H5N1 subtype,"Primorsky Krai (admin level 1); Perm Krai (admin level 1); Republic of Crimea (admin level 1); Altai Krai (admin level 1); Ural Oblast (admin level 2), Russian Republic (admin level 1)",Russia,Aves; Gallus gallus; Galliformes; Anas,2008_06_02_1; 2008_07_25_2; 2008_04_18_2,1,
223,flu_00224,2016-12-26 to 2017-02-07,H5N1 subtype,Odisha (admin level 1); Andaman and Nicobar Islands (admin level 1),India,Aves; Gallus gallus; Galliformes; Anas,2017_01_10_11; 2017_01_13_4,1,
