index,report_id,epidemic_date,flu_pathogen,location,country,host,false_negative,epidemic_no,
2169,2016_05_20_4,2016-05-20,H7N7 subtype,Italy (country),Italy,Aves,0,,
712,2016_05_03_3,2016-05-03,H5N1 subtype,Vietnam (country),Vietnam,Aves,0,,
2399,2014_11_03_4,2014-10-24,H5N1 subtype,Lhasa (admin level 2); Tibet (admin level 1),People's Republic of China,Gallus gallus; Anas,0,,
2128,2015_01_30_1,2015-01-30,H5N1 subtype,Kuban-Black Sea Oblast (admin level 2); Russian Soviet Federative Socialist Republic (admin level 1),Soviet Union,Pelecanus crispus; Aves,1,flu_00159,Need to fix country and location in databases
2347,2009_01_14_4,2008-12-26,H5N1 subtype,Jiangsu Province (Republic of China) (admin level 1),Republic of China (1912–1949),Galliformes; Gallus gallus,1,flu_00013,Need to fix country and location in databases
485,2017_03_03_4,2017-02-22,H5N8 subtype,South Korea (country),South Korea,Anas; Galliformes,0,,
2096,2017_06_06_7,2017-05-17,H5N8 subtype,Zimbabwe (country),Zimbabwe,Aves,0,,
2300,2017_03_22_8,2017-03-22,H5N6 subtype,South Korea (country),South Korea,Aves,0,,
2199,2016_01_08_2,2016-01-08,H5N1 subtype,France (country),France,Galliformes; Aves,0,,
142,2008_11_14_4,2008-11-08,H5N1 subtype,Egypt (country),Egypt,Homo sapiens,0,,
1503,2013_04_12_6,2013-04-04,H5N1 subtype,Dong Thap Province (admin level 1),Vietnam,Gallus gallus; Homo sapiens,0,,
126,2016_01_22_4,2016-01-22,H5N1 subtype,Nigeria (country),Nigeria,Aves,1,flu_00021,
2004,2009_02_06_7,2009-02-06,H5N2 subtype,British Columbia (admin level 1),Canada,Galliformes,0,,
2507,2016_07_12_2,2016-07-04,H5N2 subtype,Canada (country),Canada,Aves,0,,
2184,2016_07_12_4,2016-07-12,H5N6 subtype,Vietnam (country),Vietnam,Aves,0,,
219,2016_12_06_10,2016-11-05,H5N8 subtype,Burundi (country),Burundi,Aves,0,,
444,2014_12_23_4,2014-12-13,H5N1 subtype,Quang Ngai (admin level 2); Quảng Ngãi (admin level 1),Vietnam,Aves,0,,
1814,2006_12_07_3,2006-12-07,H5N1 subtype,Quebec (admin level 1),Canada,Homo sapiens,0,,
2109,2017_05_12_4,2017-04-04,H7N3 subtype,Mexico (country),Mexico,Aves,0,,
201,2017_03_22_4,2017-03-22,H5N1 subtype,Malaysia (country),Malaysia,Gallus gallus; Galliformes; Aves,0,,
1327,2008_08_01_1,2008-08-01,H5N1 subtype,South Korea (country),South Korea,Aves,0,,
24,2015_06_19_3,2015-06-19,H5N1 subtype,Amol County (admin level 2); Mazandaran Province (admin level 1),Iran,Aves; Galliformes,0,,
762,2016_02_22_1,2016-02-01,H5N1 subtype,Bangladesh (country),Bangladesh,Corvus,0,,
759,2015_08_07_4,2015-08-07,Influenza A virus,Mexico (country),Mexico,Aves,0,,
655,2009_08_03_3,2009-07-24,H1N1 subtype,Australia (country),Australia,Sus scrofa; Galliformes,0,,
582,2012_01_06_7,2012-01-06,H5N1 subtype,Zimbabwe (country),Zimbabwe,Homo sapiens,0,,
880,2015_08_18_2,2015-08-18,H5N2 subtype,Mexico (country),Mexico,Aves; Galliformes,0,,
1840,2017_02_07_9,2017-01-26,H5N5 subtype,Germany (country),Germany,Galliformes,0,,
505,2017_02_01_6,2017-02-01,H5N1 subtype,Bangladesh (country),Bangladesh,Aves,0,,
