Vietnam	Location
-LRB-	O
HPAI	Influenza
H5N6	Influenza
-RRB-	O
The	O
World	O
Organization	O
for	O
Animal	O
Health	O
-LRB-	O
OIE	O
-RRB-	O
reports	O
a	O
reoccurrence	O
of	O
H5N6	Influenza
outbreaks	O
inVietnam	O
.	O
Dr	O
Dong	O
Pham	O
Van	O
,	O
Director	O
General	O
,	O
Chief	O
Veterinary	O
Officer	O
,	O
Department	O
of	O
Animal	O
Health	O
,	O
Ministry	O
of	O
Agriculture	O
and	O
Rural	O
Development	O
,	O
Hanoï	Location
,	Location
Vietnam	Location
reported	O
1	O
new	O
outbreak	O
on	O
a	O
farm	O
in	O
the	O
central	O
coastal	O
province	O
of	O
Quang	Location
Ngai	Location
.	O
700	O
birds	Host_organism
died	O
,	O
and	O
a	O
total	O
of	O
3,000	O
birds	Host_organism
were	O
destroyed	O
.	O
In	O
addition	O
to	O
destroying	O
susceptible	O
birds	Host_organism
,	O
measures	O
implemented	O
were	O
:	O
movement	O
control	O
inside	O
the	O
country	O
,	O
disinfection/disinfestation	O
,	O
quarantine	O
,	O
surveillance	O
outside	O
containment	O
and/or	O
protection	O
zone	O
,	O
stamping	O
out	O
,	O
and	O
official	O
destruction	O
of	O
animal	O
products	O
.	O

China	Location
-LRB-	O
LPAI	Influenza
H7N9	Influenza
-RRB-	O
On	O
June	Date
17	Date
,	O
the	O
Centre	O
for	O
Health	O
Protection	O
-LRB-	O
CHP	O
-RRB-	O
of	O
the	O
Department	O
of	O
Health	O
-LRB-	O
DH	O
-RRB-	O
reported	O
the	O
death	O
of	O
a	O
67-year-old	Host_organism
male	Host_organism
from	O
Shenyang	Location
in	O
central	O
China	O
's	O
Liaoning	Location
Province	Location
from	O
H7N9	Influenza
.	O
The	O
man	Host_organism
became	O
feverish	O
after	O
he	O
butchered	O
a	O
chicken	Host_organism
at	O
home	O
.	O
He	O
was	O
admitted	O
to	O
a	O
local	O
hospital	O
,	O
where	O
his	O
condition	O
was	O
stabilized	O
before	O
getting	O
worse	O
,	O
the	O
commission	O
said	O
.	O
Close	O
contacts	O
and	O
those	O
with	O
the	O
same	O
exposure	O
were	O
put	O
under	O
medical	O
observation	O
with	O
no	O
abnormalities	O
so	O
far	O
.	O
This	O
is	O
the	O
first	O
case	O
of	O
human	O
infection	O
with	O
H5N6	Influenza
in	O
Liaoning	Location
province	Location
and	O
is	O
the	O
5th	O
case	O
in	O
June	Date
.	O

Cameroon	Location
-LRB-	O
HPAI	Influenza
H5N1	Influenza
-RRB-	O
A	O
total	O
of	O
16	O
outbreaks	O
of	O
avian	Influenza
influenza	Influenza
in	O
poultry	O
farms	O
,	O
as	O
early	O
as	O
May	Date
20	Date
,	Date
2016	Date
were	O
reported	O
to	O
the	O
OIE	O
on	O
July	Date
4	Date
by	O
Dr	O
Gaston	O
Djonwe	O
,	O
Directeur	O
des	O
Services	O
Vétérinaires	O
,	O
Services	O
Vétérinaires	O
,	O
Ministère	O
de	O
l'Elevage	O
,	O
des	O
Pêches	O
&	O
des	O
Industries	O
Animales	O
,	O
Yaoundé	O
,	O
Cameroon	O
.	O
The	O
total	O
number	O
of	O
birds	Host_organism
susceptible	O
totaled	O
34,157	O
of	O
which	O
7040	O
died	O
and	O
26,981	O
were	O
destroyed	O
.	O
In	O
addition	O
to	O
destroying	O
susceptible	O
birds	Host_organism
,	O
measures	O
implemented	O
were	O
:	O
movement	O
control	O
inside	O
the	O
country	O
,	O
disinfection/disinfestation	O
,	O
quarantine	O
,	O
surveillance	O
outside	O
containment	O
and/or	O
protection	O
zone	O
,	O
stamping	O
out	O
,	O
and	O
official	O
destruction	O
of	O
animal	O
products	O
.	O

Ontario	Location
-LRB-	O
LPAI	Influenza
H5N2	Influenza
-RRB-	O
On	O
July	Date
8	Date
,	Date
2016	Date
,	O
Canadian	O
officials	O
reported	O
that	O
a	O
low	O
pathogenic	O
subtype	O
of	O
the	O
H5N2	Influenza
avian	Influenza
influenza	Influenza
was	O
detected	O
on	O
a	O
commercial	O
duck	O
farm	O
near	O
the	O
town	O
of	O
St	Location
Catharines	Location
in	O
the	O
province	O
of	O
Ontario	Location
.	O
30	O
birds	Host_organism
were	O
sampled	O
on	O
July	Date
4	Date
,	Date
2016	Date
as	O
part	O
of	O
pre-export	O
testing	O
.	O
15	O
of	O
the	O
samples	O
tested	O
positive	O
for	O
avian	Influenza
influenza	Influenza
and	O
14	O
for	O
the	O
H5	Influenza
subtype	Influenza
by	O
RT-PCR	O
.	O
Sequencing	O
of	O
a	O
portion	O
of	O
the	O
H5	O
hemagglutinin	O
gene	O
showed	O
that	O
the	O
virus	O
was	O
most	O
closely	O
related	O
to	O
North	O
American	O
low	Influenza
pathogenic	Influenza
H5	Influenza
avian	Influenza
influenza	Influenza
viruses	Influenza
of	O
wild	O
bird	O
origin	O
and	O
not	O
to	O
the	O
strains	O
of	O
highly	Influenza
pathogenic	Influenza
avian	Influenza
influenza	Influenza
H5N2/H5N8	O
that	O
affected	O
the	O
US	Location
and	O
Canada	Location
last	O
year	O
.	O
Chief	O
CFIA	O
veterinary	O
officer	O
Harpreet	O
Kochhar	O
said	O
all	O
14,000	O
birds	Host_organism
would	O
be	O
humanely	O
killed	O
and	O
disposed	O
of	O
.	O
The	O
farm	O
is	O
under	O
quarantine	O
,	O
and	O
recent	O
movements	O
of	O
birds	Host_organism
and	O
farm	O
equipment	O
onto	O
and	O
off	O
the	O
property	O
are	O
being	O
tracked	O
.	O
A	O
surveillance	O
zone	O
3	O
km	O
in	O
radius	O
was	O
established	O
and	O
all	O
poultry	O
operations	O
within	O
the	O
zone	O
have	O
tested	O
negative	O
for	O
avian	Influenza
influenza	Influenza
.	O

Taiwan	Location
-LRB-	O
HPAI	Influenza
H5	Influenza
-RRB-	O
The	O
animal	O
health	O
authorities	O
in	O
the	O
Xinhua	Location
District	Location
of	O
Tainan	Location
in	O
southern	O
Taiwan	Location
,	O
reported	O
Saturday	O
a	O
new	O
bird	Influenza
flu	Influenza
case	O
involving	O
a	O
goose	O
farm	O
.	O
The	O
farm	O
was	O
sampled	O
for	O
disease	O
after	O
the	O
farmer	O
reported	O
abnormal	O
deaths	O
beginning	O
on	O
July	Date
1	Date
.	O
All	O
1,048	O
geese	Host_organism
on	O
the	O
farm	O
were	O
culled	O
.	O
The	O
county	O
government	O
has	O
begun	O
monitoring	O
and	O
doing	O
specimen	O
collection	O
within	O
one	O
kilometer	O
of	O
the	O
farm	O
to	O
make	O
sure	O
neighboring	O
poultry	O
farms	O
are	O
virus-free	O
.	O
Nothing	O
abnormal	O
was	O
detected	O
as	O
of	O
July	Date
5	Date
,	Date
2016	Date
.	O

H5N1	Influenza
in	O
Wild	Host_organism
birds	Host_organism
in	O
China	Location
A	O
study	O
by	O
Li	O
et	O
al.	O
-LRB-	O
2008	O
-RRB-	O
reported	O
on	O
the	O
pathogenicity	O
of	O
two	O
H5N1	Influenza
viruses	Influenza
isolated	O
from	O
wild	Host_organism
ducks	Host_organism
-LRB-	O
no	O
species	O
provided	O
-RRB-	O
in	O
December	Date
2005	Date
near	O
Dongting	O
Lake	O
,	O
in	O
Hunan	Location
province	Location
.	O
One	O
H5N1	Influenza
isolate	O
was	O
highly	O
pathogenic	O
in	O
chickens	Host_organism
and	O
geese	Host_organism
,	O
but	O
not	O
in	O
ducks	O
and	O
mice	O
.	O
Another	O
H5N1	O
isolate	O
was	O
highly	O
pathogenic	O
in	O
chickens	O
,	O
geese	O
,	O
ducks	O
and	O
mice	O
.	O
Both	O
isolates	O
could	O
be	O
transmitted	O
from	O
duck	O
to	O
duck	O
and	O
replicated	O
in	O
the	O
lungs	O
and	O
brains	O
of	O
mice	O
.	O

H5N1	Influenza
in	O
Poultry	Host_organism
in	O
UK	Location
H7	Influenza
avian	Influenza
influenza	Influenza
was	O
discovered	O
at	O
a	O
farm	O
with	O
25,000	O
free-range	O
chickens	Host_organism
in	O
Oxfordshire	Location
.	O
The	O
family-run	O
farm	O
had	O
been	O
operating	O
for	O
50	O
years	O
and	O
had	O
a	O
free	O
range	O
unit	O
for	O
five	O
years	O
.	O
The	O
farmer	O
contacted	O
the	O
Department	O
for	O
Environment	O
,	O
Food	O
and	O
Rural	O
Affairs	O
-LRB-	O
DEFRA	O
-RRB-	O
after	O
his	O
chickens	Host_organism
exhibited	O
signs	O
of	O
avian	Influenza
influenza	Influenza
.	O
Tests	O
are	O
positive	O
for	O
H7	Influenza
avian	Influenza
influenza	Influenza
,	O
according	O
to	O
Nigel	O
Gibbens	O
,	O
the	O
chief	O
veterinary	O
officer	O
.	O
On	O
June	Date
4	Date
,	O
DEFRA	O
confirmed	O
the	O
virus	O
as	O
``	O
highly	O
pathogenic	O
.	O
''	O
The	O
outbreakis	O
the	O
fourth	O
case	O
of	O
H7	Influenza
in	O
the	O
UK	Location
since	O
May	Date
2006	Date
,	O
but	O
the	O
outbreak	O
nearBanbury	O
is	O
the	O
first	O
time	O
the	O
H7	Influenza
strain	O
was	O
highly	O
pathogenic	O
.	O

H5N1	Influenza
in	O
Wild	Host_organism
birds	Host_organism
in	O
Japan	Location
Two	O
swans	Host_organism
that	O
died	O
near	O
the	O
end	O
of	O
April	Date
in	O
Aomori	Location
tested	O
positive	O
for	O
H5N1	Influenza
;	O
the	O
information	O
was	O
reported	O
to	O
the	O
World	O
Organization	O
for	O
Animal	O
Health	O
-LRB-	O
OIE	O
-RRB-	O
on	O
June	Date
3rd	Date
.	O

H5N1	Influenza
in	O
Humans	Host_organism
in	O
Indonesia	Location
.	O
Indonesian	O
Health	O
Minister	O
Siti	O
Fadilah	O
Supari	O
said	O
on	O
June	Date
5	Date
that	O
the	O
government	O
will	O
no	O
longer	O
announce	O
human	Host_organism
deaths	O
due	O
to	O
bird	Influenza
flu	Influenza
immediately	O
upon	O
confirmation	O
.	O
The	O
deaths	O
will	O
be	O
reported	O
as	O
a	O
group	O
at	O
intervals	O
.	O
The	O
policy	O
will	O
lead	O
to	O
significant	O
delay	O
in	O
the	O
recognition	O
of	O
new	O
human	O
cases	O
globally	O
since	O
the	O
World	O
Health	O
Organization	O
does	O
not	O
have	O
an	O
independent	O
means	O
of	O
verification	O
;	O
instead	O
it	O
relies	O
on	O
the	O
in-country	O
declaration	O
of	O
confirmed	O
cases	O
in	O
Indonesia	Location
.	O
The	O
108	O
fatal	O
cases	O
in	O
Indonesia	Location
account	O
for	O
almost	O
half	O
of	O
the	O
241	O
recorded	O
globally	O
since	O
2003	Date
.	O
-LRB-	O
more	O
...	O
-RRB-	O

H5N1	Influenza
in	O
Poultry	Host_organism
in	O
USA	Location
Tyson	O
Foods	O
,	O
the	O
nation	O
's	O
second	O
largest	O
poultry	O
producer	O
,	O
said	O
that	O
it	O
has	O
begun	O
killing	O
15,000	O
chickens	Host_organism
at	O
a	O
plant	O
located	O
in	O
northwest	O
Arkansas	Location
,	O
following	O
discovery	O
of	O
H7N3	Influenza
in	O
the	O
flock	O
.	O
None	O
of	O
the	O
birds	Host_organism
showed	O
signs	O
of	O
disease	O
and	O
the	O
antibodies	O
to	O
the	O
H7N3	Influenza
virus	Influenza
were	O
only	O
detected	O
during	O
routine	O
pre-slaughter	O
testing	O
,	O
said	O
the	O
director	O
of	O
the	O
state	O
's	O
Livestock	O
and	O
Poultry	O
Commission	O
.	O

H5N1	Influenza
in	O
Wild	Host_organism
birds	Host_organism
in	O
New	Location
Zealand	Location
The	O
introduction	O
of	O
H5N1	Influenza
into	O
New	Location
Zealand	Location
would	O
threaten	O
16	O
native	O
species	O
such	O
as	O
the	O
kiwi	Host_organism
,	O
takahe	Host_organism
and	O
shore	Host_organism
plovers	Host_organism
.	O
A	O
two-day-long	O
simulation	O
exercise	O
is	O
being	O
held	O
to	O
train	O
officials	O
and	O
veterinarians	O
on	O
coordination	O
and	O
response	O
in	O
the	O
event	O
of	O
a	O
bird	Influenza
flu	Influenza
outbreak	O
.	O

LPAI	Influenza
in	O
Poultry	Host_organism
in	O
Japan	Location
H7N6	Influenza
avian	Influenza
influenza	Influenza
was	O
detected	O
on	O
a	O
quail	O
farm	O
in	O
Toyohashi	Location
,	Location
Aichi	Location
prefecture	O
.	O
Seven	O
quail	Host_organism
tested	O
positive	O
during	O
a	O
routine	O
inspection	O
of	O
the	O
320,000-bird	O
farm	O
.	O
None	O
of	O
the	O
birds	Host_organism
have	O
died	O
from	O
the	O
disease	O
,	O
which	O
suggests	O
a	O
low-pathogenic	O
strain	O
.	O
260,000	O
birds	Host_organism
will	O
be	O
culled	O
and	O
composted	O
to	O
prevent	O
the	O
disease	O
from	O
spreading	O
.	O
On	O
March	Date
4	Date
,	O
H7	Influenza
was	O
discovered	O
at	O
a	O
second	O
quail	O
farm	O
located	O
less	O
than	O
5	O
km	O
from	O
the	O
farm	O
where	O
the	O
outbreak	O
began	O
.	O
An	O
additional	O
5	O
km	O
movement	O
restriction	O
area	O
has	O
been	O
established	O
around	O
the	O
second	O
farm	O
.	O

H5N1	Influenza
in	O
Poultry	Host_organism
in	O
Bangladesh	Location
.	O
An	O
outbreak	O
that	O
began	O
on	O
Feb.	Date
14	Date
at	O
a	O
commercial	O
farm	O
in	O
Dhaka	Location
led	O
to	O
the	O
death	O
of	O
164	O
birds	Host_organism
and	O
the	O
culling	O
of	O
1,036	O
.	O
Three	O
birds	Host_organism
from	O
a	O
backyard	O
flock	O
also	O
died	O
in	O
the	O
outbreak	O
.	O
Another	O
commercial	O
farm	O
in	O
Dhaka	Location
experienced	O
an	O
outbreak	O
beginning	O
on	O
Feb.	Date
16	Date
;	O
268	O
birds	Host_organism
died	O
and	O
1,182	O
were	O
destroyed	O
.	O
A	O
third	O
outbreak	O
on	O
a	O
commercial	O
farm	O
in	O
Dhaka	Location
that	O
began	O
on	O
Feb.	Date
19	Date
caused	O
the	O
death	O
of	O
40	O
birds	Host_organism
and	O
the	O
culling	O
of	O
460	O
.	O
Since	O
March	Date
2007	Date
around	O
570	O
farms	O
,	O
50	O
of	O
them	O
backyard	O
,	O
have	O
reported	O
cases	O
of	O
bird	Influenza
flu	Influenza
.	O
Although	O
authorities	O
are	O
confident	O
that	O
this	O
year	O
will	O
be	O
better	O
than	O
last	O
,	O
scientists	O
are	O
concerned	O
that	O
backyard	O
farms	O
will	O
be	O
particularly	O
at	O
risk	O
because	O
owners	O
are	O
not	O
well	O
informed	O
about	O
preventative	O
measures	O
.	O
Cases	O
of	O
bird	Influenza
flu	Influenza
in	O
backyard	O
farms	O
often	O
go	O
unreported	O
and	O
pose	O
a	O
health	O
threat	O
to	O
humans	O
as	O
well	O
as	O
poultry	O
.	O

H5N1	Influenza
in	O
Poultry	Host_organism
in	O
Pakistan	Location
Pakistan	O
's	O
