China	Location
-LRB-	O
HPAI	O
H5N6	Influenza
-RRB-	O
According	O
to	O
a	O
statement	O
from	O
Hong	O
Kong	O
's	O
Centre	O
for	O
Health	O
Protection	O
-LRB-	O
CHP	O
-RRB-	O
,	O
a	O
42	O
year-old	O
man	Host_organism
from	O
Guangdong	Location
province	O
was	O
hospitalized	O
in	O
Ganzhou	Location
in	O
Jiangxi	Location
province	O
with	O
highly	O
pathogenic	O
H5N6	Influenza
avian	Influenza
influenza	Influenza
.	O
The	O
infection	O
was	O
detected	O
during	O
routine	O
surveillance	O
and	O
the	O
man	Host_organism
also	O
had	O
severe	O
pneumonia	O
upon	O
testing	O
.	O
The	O
man	Host_organism
began	O
having	O
symptoms	O
on	O
December	Date
12	Date
,	O
was	O
admitted	O
to	O
the	O
hospital	O
on	O
December	Date
19	Date
,	O
and	O
died	O
on	O
December	Date
21	Date
.	O
A	O
total	O
of	O
eight	O
cases	O
of	O
H5N6	Influenza
in	O
people	Host_organism
have	O
been	O
reported	O
in	O
China	Location
since	O
2014	Date
,	O
four	O
of	O
them	O
being	O
reported	O
in	O
the	O
last	Date
few	Date
weeks	Date
.	O

H5N1	Influenza
in	O
Humans	Host_organism
in	O
Indonesia	Location
A	O
34-year-old	O
woman	Host_organism
from	O
Banten	Location
province	O
died	O
from	O
H5N1	Influenza
bird	Influenza
flu	Influenza
on	O
July	Date
7	Date
.	O
The	O
patient	Host_organism
developed	O
symptoms	O
on	O
July	Date
2	Date
and	O
was	O
hospitalized	O
on	O
July	Date
4	Date
.	O
H5N1	Influenza
was	O
confirmed	O
by	O
laboratory	O
testing	O
.	O
-LRB-	O
more	O
...	O
-RRB-	O

H5N1	Influenza
in	O
Wild	O
birds	Host_organism
in	O
India	Location
At	O
least	O
a	O
dozen	O
migratory	O
bar-headed	Host_organism
geese	Host_organism
were	O
found	O
dead	O
on	O
January	Date
7	Date
and	Date
8	Date
at	O
Kaziranga	O
National	O
Park	O
in	O
Assam	Location
.	O
The	O
geese	Host_organism
had	O
recently	O
arrived	O
at	O
the	O
sanctuary	O
from	O
Siberia	Location
and	O
officials	O
are	O
concerned	O
that	O
they	O
may	O
have	O
died	O
from	O
bird	Influenza
flu	Influenza
.	O
``	O
A	O
team	O
of	O
experts	O
,	O
including	O
veterinarians	O
,	O
are	O
carrying	O
out	O
post-mortems	O
of	O
the	O
birds	Host_organism
and	O
samples	O
will	O
be	O
sent	O
to	O
Bhopal	Location
to	O
find	O
out	O
if	O
the	O
deaths	O
were	O
due	O
to	O
avian	Influenza
influenza	Influenza
or	O
some	O
other	O
disease	O
,	O
''	O
a	O
park	O
ranger	O
told	O
the	O
Indo-Asian	O
News	O
Service	O
.	O
Forest	O
guards	O
have	O
been	O
alerted	O
to	O
watch	O
for	O
other	O
dead	O
birds	Host_organism
in	O
the	O
park	O
,	O
which	O
contains	O
300	O
species	O
of	O
birds	Host_organism
,	O
100	O
of	O
which	O
are	O
migratory	O
.	O

USA	Location
.	O
A	O
dog	Host_organism
in	O
New	Location
York	Location
is	O
the	O
first	O
in	O
the	O
United	Location
States	Location
to	O
be	O
diagnosed	O
with	O
pandemic	O
H1N1	Influenza
-LRB-	Influenza
2009	Influenza
-RRB-	Influenza
virus	Influenza
.	O
The	O
13-year-old	O
mixed-breed	Host_organism
male	Host_organism
is	O
thought	O
to	O
have	O
caught	O
the	O
disease	O
from	O
its	O
owner	O
and	O
is	O
now	O
recovering	O
.	O
The	O
American	O
Veterinary	O
Medical	O
Association	O
said	O
that	O
there	O
is	O
still	O
no	O
evidence	O
that	O
the	O
virus	O
could	O
be	O
transferred	O
from	O
pets	Host_organism
to	O
humans	Host_organism
.	O
Dr.	O
Anne	O
Schuchat	O
of	O
the	O
Centers	O
for	O
Disease	O
Control	O
-LRB-	O
CDC	O
-RRB-	O
said	O
that	O
it	O
is	O
rare	O
for	O
pets	Host_organism
to	O
spread	O
flu	Influenza
viruses	Influenza
.	O
Pigs	Host_organism
on	O
two	O
farms	O
in	O
North	Location
Carolina	Location
have	O
been	O
diagnosed	O
with	O
pandemic	O
H1N1	Influenza
-LRB-	Influenza
2009	Influenza
-RRB-	Influenza
virus	Influenza
.	O
Samples	O
were	O
tested	O
and	O
confirmed	O
positive	O
by	O
the	O
U.S.	O
Department	O
of	O
Agriculture	O
's	O
National	O
Veterinary	O
Services	O
Laboratory	O
.	O
The	O
animals	O
have	O
fully	O
recovered	O
under	O
the	O
care	O
of	O
a	O
private	O
veterinarian	O
.	O
The	O
pigs	Host_organism
were	O
tested	O
after	O
they	O
showed	O
signs	O
of	O
mild	O
illness	O
.	O
State	O
veterinarian	O
,	O
David	O
Marshall	O
,	O
said	O
,	O
``	O
These	O
cases	O
show	O
that	O
our	O
surveillance	O
system	O
is	O
working	O
.	O
''	O
It	O
appears	O
that	O
the	O
animals	O
on	O
both	O
farms	O
caught	O
the	O
disease	O
from	O
humans	Host_organism
.	O
\	O
``	O
We	O
want	O
to	O
reassure	O
the	O
public	O
that	O
it	O
is	O
safe	O
to	O
eat	O
pork	O
from	O
swine	Host_organism
that	O
have	O
been	O
infected	O
previously	O
and	O
recovered	O
from	O
influenza	Influenza
viruses	Influenza
,	O
including	O
novel	O
viruses	O
,	O
\	O
''	O
state	O
health	O
director	O
Jeff	O
Engel	O
said	O
.	O
\	O
``	O
As	O
always	O
,	O
we	O
will	O
continue	O
to	O
work	O
closely	O
with	O
the	O
Department	O
of	O
Agriculture	O
and	O
Consumer	O
Services	O
to	O
protect	O
the	O
health	O
and	O
safety	O
of	O
the	O
public	O
.	O
\	O
''	O

UK	Location
.	O
An	O
outbreak	O
of	O
pandemic	O
H1N1	Influenza
-LRB-	Influenza
2009	Influenza
-RRB-	Influenza
virus	Influenza
in	O
